시도명,선거구명,구시군명,읍면동명,투표타입,선거인수,투표수,후보자별 득표수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,계,"무효
투표수",기권수
서울특별시,종로구,종로구,,,,,"더불어민주당
곽상언","국민의힘
최재형","새로운미래
진예찬","개혁신당
금태섭","가락특권폐지당
김준수","대한국민당
김종갑","민중민주당
차은정",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,자양제3동제6투,"1,374",700,331,344,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,14,674
,,,,자양제3동제7투,"2,550","1,752",370,"1,345",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,733",19,798
,,,자양제4동,소계,"17,015","11,244","5,467","5,552",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,090",154,"5,771"
,,,,관내사전투표,"5,060","5,059","2,799","2,203",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,026",33,1
,,,,자양제4동제1투,"1,616",759,318,423,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744,15,857
,,,,자양제4동제2투,"1,992","1,125",434,662,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,105",20,867
,,,,자양제4동제3투,"2,313","1,210",517,665,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,189",21,"1,103"
,,,,자양제4동제4투,"2,193","1,127",507,594,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,109",18,"1,066"
,,,,자양제4동제5투,"1,928",973,457,482,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,22,955
,,,,자양제4동제6투,"1,913",991,435,523,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966,25,922
,,,화양동,소계,"20,498","11,022","6,028","4,586",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,758",264,"9,476"
,,,,관내사전투표,"4,224","4,223","2,585","1,525",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,155",68,1
,,,,화양동제1투,"4,302","1,708",911,711,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,652",56,"2,594"
,,,,화양동제2투,"2,614","1,115",566,496,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,078",37,"1,499"
,,,,화양동제3투,"2,687","1,174",541,585,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,143",31,"1,513"
,,,,화양동제4투,"2,076",765,389,338,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,29,"1,311"
,,,,화양동제5투,"2,156",960,486,442,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,19,"1,196"
,,,,화양동제6투,"2,439","1,077",550,489,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,053",24,"1,362"
,,,잘못 투입·구분된 투표지,,0,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,-4
,동대문구갑,동대문구,,,,,"더불어민주당
안규백","국민의힘
김영우","개혁신당
한승민",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,"151,861","103,532","53,978","45,377","2,689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,044","1,488","48,329"
,,,거소·선상투표,,173,164,75,71,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,10,9
,,,관외사전투표,,"15,355","15,352","9,273","5,386",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,159",193,3
,,,국외부재자투표,,633,471,317,135,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,4,162
,,,용신동,소계,"30,540","18,620","9,648","8,291",429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,368",252,"11,920"
,,,,관내사전투표,"6,867","6,866","4,042","2,652",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,812",54,1
,,,,용신동제1투,"2,425","1,206",497,667,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,189",17,"1,219"
,,,,용신동제2투,"2,427","1,169",558,564,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,156",13,"1,258"
,,,,용신동제3투,"4,469","2,213",994,"1,123",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,177",36,"2,256"
,,,,용신동제4투,"2,212","1,127",527,546,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,108",19,"1,085"
,,,,용신동제5투,"2,817","1,393",708,620,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,361",32,"1,424"
,,,,용신동제6투,"3,983","1,928",949,896,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,895",33,"2,055"
,,,,용신동제7투,"2,600","1,258",633,562,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,231",27,"1,342"
,,,,용신동제8투,"2,740","1,460",740,661,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,439",21,"1,280"
,,,제기동,소계,"19,360","12,403","5,968","5,968",288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,224",179,"6,957"
,,,,관내사전투표,"5,147","5,146","2,812","2,186",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,101",45,1
,,,,제기동제1투,"2,509","1,186",459,673,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,157",29,"1,323"
,,,,제기동제2투,"2,354","1,333",529,749,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,304",29,"1,021"
,,,,제기동제3투,"2,317",979,410,515,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,22,"1,338"
,,,,제기동제4투,"2,567","1,268",596,619,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,247",21,"1,299"
,,,,제기동제5투,"2,256","1,300",637,614,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,285",15,956
,,,,제기동제6투,"2,210","1,191",525,612,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,173",18,"1,019"
,,,청량리동,소계,"16,113","10,755","4,886","5,497",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,615",140,"5,358"
,,,,관내사전투표,"4,152","4,151","2,200","1,819",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,117",34,1
,,,,청량리동제1투,"1,747",776,367,378,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,15,971
,,,,청량리동제2투,"2,483","1,648",736,858,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,630",18,835
,,,,청량리동제3투,"1,050",581,235,328,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,6,469
,,,,청량리동제4투,"1,730",945,404,503,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,20,785
,,,,청량리동제5투,"2,060","1,164",466,644,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,142",22,896
,,,,청량리동제6투,"2,891","1,490",478,967,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,465",25,"1,401"
,,,회기동,소계,"10,694","7,412","4,124","2,906",244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,274",138,"3,282"
,,,,관내사전투표,"4,415","4,415","2,701","1,503",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,349",66,0
,,,,회기동제1투,"2,496","1,082",547,469,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,052",30,"1,414"
,,,,회기동제2투,"2,009","1,066",453,558,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,041",25,943
,,,,회기동제3투,"1,774",849,423,376,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,17,925
,,,휘경제1동,소계,"11,001","7,089","3,615","3,135",218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,968",121,"3,912"
,,,,관내사전투표,"3,047","3,047","1,692","1,263",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,027",20,0
,,,,휘경제1동제1투,"2,363","1,268",555,647,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,241",27,"1,095"
,,,,휘경제1동제2투,"2,681","1,419",662,679,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,388",31,"1,262"
,,,,휘경제1동제3투,"2,910","1,355",706,546,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,312",43,"1,555"
,,,휘경제2동,소계,"18,334","11,654","5,959","5,205",288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,452",202,"6,680"
,,,,관내사전투표,"3,043","3,042","1,831","1,120",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,010",32,1
,,,,휘경제2동제1투,"1,841",917,409,467,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,14,924
,,,,휘경제2동제2투,"2,030","1,392",677,665,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,373",19,638
,,,,휘경제2동제3투,"3,409","1,700",816,768,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,640",60,"1,709"
,,,,휘경제2동제4투,"3,555","1,790",906,794,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,748",42,"1,765"
,,,,휘경제2동제5투,"2,445","1,649",767,818,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,626",23,796
,,,,휘경제2동제6투,"2,011","1,164",553,573,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,152",12,847
,,,이문제1동,소계,"14,597","9,149","4,570","4,190",245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,005",144,"5,448"
,,,,관내사전투표,"3,061","3,061","1,775","1,198",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,031",30,0
,,,,이문제1동제1투,"1,682",812,352,425,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,15,870
,,,,이문제1동제2투,"1,697",844,375,442,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,6,853
,,,,이문제1동제3투,"1,979","1,185",532,594,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,164",21,794
,,,,이문제1동제4투,"1,509",732,358,337,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,13,777
,,,,이문제1동제5투,"2,134","1,269",576,632,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,247",22,865
,,,,이문제1동제6투,"2,535","1,246",602,562,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,209",37,"1,289"
,,,이문제2동,소계,"15,061","10,461","5,541","4,593",222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,356",105,"4,600"
,,,,관내사전투표,"3,919","3,918","2,412","1,404",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,894",24,1
,,,,이문제2동제1투,"2,482","1,256",633,572,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,236",20,"1,226"
,,,,이문제2동제2투,"1,585",695,362,305,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,13,890
,,,,이문제2동제3투,"2,242","1,333",575,705,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,321",12,909
,,,,이문제2동제4투,"2,426","1,674",772,855,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,652",22,752
,,,,이문제2동제5투,"2,407","1,585",787,752,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,571",14,822
,,,잘못 투입·구분된 투표지,,0,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,-2
,동대문구을,,,,,,"더불어민주당
장경태","국민의힘
김경진",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,"154,549","108,208","58,286","48,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,694","1,514","46,341"
,,,거소·선상투표,,197,179,100,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,4,18
,,,관외사전투표,,"12,464","12,462","7,722","4,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,269",193,2
,,,국외부재자투표,,481,346,252,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,2,135
,,,전농제1동,소계,"25,157","16,380","8,196","7,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,124",256,"8,777"
,,,,관내사전투표,"5,236","5,234","3,022","2,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,192",42,2
,,,,전농제1동제1투,"2,060",912,403,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,23,"1,148"
,,,,전농제1동제2투,"2,179","1,239",556,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,221",18,940
,,,,전농제1동제3투,"3,017","1,452",751,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,422",30,"1,565"
,,,,전농제1동제4투,"2,005","1,050",511,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,031",19,955
,,,,전농제1동제5투,"1,968",925,445,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,22,"1,043"
,,,,전농제1동제6투,"1,632",787,354,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,15,845
,,,,전농제1동제7투,"1,960","1,310",591,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,281",29,650
,,,,전농제1동제8투,"2,217","1,586",720,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,565",21,631
,,,,전농제1동제9투,"2,883","1,885",843,"1,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,848",37,998
,,,전농제2동,소계,"15,407","11,150","5,870","5,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,005",145,"4,257"
,,,,관내사전투표,"5,429","5,427","3,196","2,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,376",51,2
,,,,전농제2동제1투,"1,695",957,442,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,17,738
,,,,전농제2동제2투,"2,279","1,497",699,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,473",24,782
,,,,전농제2동제3투,"1,726",973,468,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956,17,753
,,,,전농제2동제4투,"2,738","1,443",652,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,417",26,"1,295"
,,,,전농제2동제5투,"1,540",853,413,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,10,687
,,,답십리제1동,소계,"21,874","15,138","7,997","6,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,907",231,"6,736"
,,,,관내사전투표,"5,772","5,771","3,469","2,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,718",53,1
,,,,답십리제1동제1투,"2,301",986,547,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959,27,"1,315"
,,,,답십리제1동제2투,"2,646","1,356",654,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,314",42,"1,290"
,,,,답십리제1동제3투,"1,986","1,370",633,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,350",20,616
,,,,답십리제1동제4투,"2,069","1,254",595,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,234",20,815
,,,,답십리제1동제5투,"2,708","1,622",757,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,599",23,"1,086"
,,,,답십리제1동제6투,"1,565",926,448,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,17,639
,,,,답십리제1동제7투,"2,827","1,853",894,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,824",29,974
,,,답십리제2동,소계,"21,650","14,687","7,639","6,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,472",215,"6,963"
,,,,관내사전투표,"5,101","5,099","2,960","2,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,048",51,2
,,,,답십리제2동제1투,"2,977","1,439",703,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,420",19,"1,538"
,,,,답십리제2동제2투,"1,845","1,022",480,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,001",21,823
,,,,답십리제2동제3투,"1,694","1,005",459,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,13,689
,,,,답십리제2동제4투,"2,340","1,472",732,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,444",28,868
,,,,답십리제2동제5투,"2,377","1,548",764,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,516",32,829
,,,,답십리제2동제6투,"2,688","1,774",876,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,744",30,914
,,,,답십리제2동제7투,"2,628","1,328",665,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,307",21,"1,300"
,,,장안제1동,소계,"31,315","20,632","11,240","9,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,365",267,"10,683"
,,,,관내사전투표,"8,338","8,339","5,165","3,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,260",79,-1
,,,,장안제1동제1투,"2,714","1,185",602,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,164",21,"1,529"
,,,,장안제1동제2투,"3,207","1,636",833,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,608",28,"1,571"
,,,,장안제1동제3투,"3,212","1,330",722,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,308",22,"1,882"
,,,,장안제1동제4투,"3,546","1,816",939,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,778",38,"1,730"
,,,,장안제1동제5투,"2,269","1,261",678,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,247",14,"1,008"
,,,,장안제1동제6투,"2,877","1,493",727,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,468",25,"1,384"
,,,,장안제1동제7투,"2,404","1,624",690,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,611",13,780
,,,,장안제1동제8투,"2,748","1,948",884,"1,037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,921",27,800
,,,장안제2동,소계,"26,004","17,232","9,270","7,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,031",201,"8,772"
,,,,관내사전투표,"6,550","6,544","3,940","2,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,503",41,6
,,,,장안제2동제1투,"1,523",769,399,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,13,754
,,,,장안제2동제2투,"2,675","1,427",723,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,410",17,"1,248"
,,,,장안제2동제3투,"1,759",851,399,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,13,908
,,,,장안제2동제4투,"2,153","1,077",532,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,059",18,"1,076"
,,,,장안제2동제5투,"4,085","2,049","1,127",884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,011",38,"2,036"
,,,,장안제2동제6투,"1,825","1,035",510,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,023",12,790
,,,,장안제2동제7투,"3,138","2,079",964,"1,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,052",27,"1,059"
,,,,장안제2동제8투,"2,296","1,401",676,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,379",22,895
,,,잘못 투입·구분된 투표지,,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,-2
,중랑구갑,중랑구,,,,,"더불어민주당
서영교","국민의힘
김삼화",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,"156,202","99,701","60,881","37,429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,310","1,391","56,501"
,,,거소·선상투표,,175,165,104,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,5,10
,,,관외사전투표,,"11,951","11,940","8,201","3,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,776",164,11
,,,국외부재자투표,,333,242,191,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,2,91
,,,면목본동,소계,"28,365","16,934","10,207","6,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,666",268,"11,431"
,,,,관내사전투표,"7,676","7,672","5,015","2,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,604",68,4
,,,,면목본동제1투,"3,268","1,336",695,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,303",33,"1,932"
,,,,면목본동제2투,"3,027","1,451",818,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,415",36,"1,576"
,,,,면목본동제3투,"2,980","1,361",814,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,335",26,"1,619"
,,,,면목본동제4투,"2,982","1,471",821,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,432",39,"1,511"
,,,,면목본동제5투,"2,622","1,182",677,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,163",19,"1,440"
,,,,면목본동제6투,"3,106","1,290",727,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,262",28,"1,816"
,,,,면목본동제7투,"2,704","1,171",640,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,152",19,"1,533"
,,,면목제2동,소계,"18,943","11,098","6,618","4,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,955",143,"7,845"
,,,,관내사전투표,"4,446","4,446","2,843","1,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,404",42,0
